mod,protein1,protein2,interaction,interaction_pair
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4DU51,C9J417,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
IJTLWZPUGZBFLA-UHFFFAOYSA-N,E9PJ30,A0A248X3X9,0,Rad51_BRCA2
WQSHEPAFFTVLAP-UHFFFAOYSA-N,E7EN32,Q9HBJ4,0,MENIN_MLL
YKYPXFBQABKRKC-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,P0DPK2,1,PB1-5_H3
CFGADNMKHAGYEI-ZETCQYMHSA-N,P20701,K7EKL8,1,LFA_ICAM
SKAIIYFAYOKICE-UHFFFAOYSA-N,E9PKS4,A1ECD1,1,GATA4_NKX2-5
JWVTXNFJOZMBPJ-JTHBVZDNSA-N,Q6NZ91,A2N4P8,1,IL2_IL2R
XGIDEUICZZXBFQ-UHFFFAOYSA-N,A0A3G1LBH1,Q07889,1,KRAS_SOS1
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DSW9,Q9HCS4,1,Catenin beta-1_Transcription factor 7
XBTWVJKPQPQTDW-UHFFFAOYSA-N,A0A0S2Z4C5,S4R334,1,S100B_p53
IPRPWUGLLBDILH-UHFFFAOYSA-N,Q9UL45,Q86U86,0,PA_PB1
WYWIFABBXFUGLM-UHFFFAOYSA-N,O00255,Q9HBJ4,0,MENIN_MLL
RIYOWUZQAXSMBW-AWEZNQCLSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
TZBJGXHYKVUXJN-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
SNDJBVKOLCXWPG-UHFFFAOYSA-N,F5GYA9,Q5NUL3,1,CD4_gp120
JVRFSWXFNVLIFF-UHFFFAOYSA-N,P78460,C9K0N6,1,HRAS_SOS1
MKXKFYHWDHIYRV-UHFFFAOYSA-N,U5P039,A0A494C0A9,1,Runt-related transcription factor 1_Core-binding factor subunit beta
JUJIMRZGUBTJRV-NASSWSRMSA-N,B1AKU2,Q9NR28,1,XIAP_SMAC
YPWGVHQEPQXVCJ-UHFFFAOYSA-N,Q9UL45,Q5EBM5,0,PA_PB1
WBFBQHWUSFCJST-UHFFFAOYSA-N,P62166,E9PI04,0,NCS-1_Ric8a
FOHWXVBZGSVUGO-UHFFFAOYSA-N,P37231,AF-E5RFN9-F1-model_v4,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 2
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,P35916,1,FAK_VEGFR3
ABXZOXDTHTTZJW-GFCCVEGCSA-N,A0A0S2Z4T3,Q05655,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
CMABMSIBRBPFRT-UHFFFAOYSA-N,Q9UL45,Q86U86,0,PA_PB1
QMETXUTZEYHEJB-UHFFFAOYSA-N,B4E3L5,B3KW07,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
MTAQSNRDDITUHH-GOSISDBHSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
KNJKLBLRJBJXFN-UHFFFAOYSA-N,B4DG83,O43521,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
DRGCWMGLVXZPIZ-UHFFFAOYSA-N,AF-Q00975-F1-model_v4,A0A0D9SFA9,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
XLJBMJUUVSNCDD-UHFFFAOYSA-N,A6NMY6,Q6FGE5,1,Annexin A2_S100-A10
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PI04,1,NCS-1_Ric8a
BVRLTSITWMBXTQ-UHFFFAOYSA-N,O43521,Q07812,0,"BCL-like_BAX,BAK"
BGKOVWIBDZMJPN-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
ZISVVFAZFZVTIA-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
OIGLFJGNJOWHFL-UHFFFAOYSA-N,V9GYQ5,AF-A0A0S2Z448-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
HINIVJQEMAJGJZ-UHFFFAOYSA-N,P27540,B3KW07,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
HYIMSNHJOBLJNT-UHFFFAOYSA-N,Q8WTS1,Q00G26,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q86YN6,B4DYT5,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
IOUZAKOZNDIRHM-IAGOWNOFSA-N,P78545,B9TX59,1,ELF3_MED23
SVBCOAAIOJDZNC-BQYQJAHWSA-N,AF-Q5EBM5-F1-model_v4,P0DPK5,1,PB1-5_H3
GRIAZRCYPXFJJF-UHFFFAOYSA-N,E9PFV2,C9J330,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor corepressor 2
OBDBWBFWAREAGR-UHFFFAOYSA-N,A0A7I2V3S6,Q5W0X3,1,FKBP1A_FK506
LBXJVISQYZQJLT-UHFFFAOYSA-N,A1A564,Q16413,1,BCoR_BCL6
SMUCBSIIVRIZHT-STZFKDTASA-N,K7ESE0,Q16236,0,KEAP1_NRF2
IOUZAKOZNDIRHM-IAGOWNOFSA-N,P78545,B9TX60,1,ELF3_MED23
GYFSAKAXGZYFTD-CYBMUJFWSA-N,O60885,Q9H9B1,1,Bromodomain_Histone
CXKWCBBOMKCUKX-UHFFFAOYSA-M,P37231,B5MCN7,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
MKXIWMVKCFSCIT-UHFFFAOYSA-N,P07355,P60903,1,Annexin A2_S100-A10
PHNPJMNJTLYYAU-UHFFFAOYSA-N,B7Z752,H3BRI5,0,Importin subunit beta-1_Snurportin-1
FZDVDUFZALKOHQ-UHFFFAOYSA-N,W0UV93,A0A1B0GW57,1,RAC1_TIAM1
VSSSHNJONFTXHS-UHFFFAOYSA-N,K7EJ49,Q16236,1,KEAP1_NRF2
RIBYLXUNNWIWJK-AOMKIAJQSA-N,AF-R6XDM2-F1-model_v4,P04637,1,XDM2_P53
AARUNXNNAZIAQK-UHFFFAOYSA-N,A0N2G3,Q6V3B1,1,MYC_MAX
OXQRLSIUMBHZJR-UHFFFAOYSA-N,A0A7I2V3S6,Q1JUQ3,0,FKBP1A_FK506
QMETXUTZEYHEJB-UHFFFAOYSA-N,B4E3L5,C9J9N2,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9NUV7,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
HDCUYVWVMGOCTK-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
TYLLBOCDKUXAKC-UHFFFAOYSA-N,P33681,P10747,1,CD80_CD28
AFTZZRFCMOAFCR-UHFFFAOYSA-N,W0UV93,A0A1B0GW57,1,RAC1_TIAM1
YPWGVHQEPQXVCJ-UHFFFAOYSA-N,Q9UL45,Q5EBM5,0,PA_PB1
WJSQCAWGGRFZJK-UHFFFAOYSA-N,P98170,Q9NR28,0,XIAP_SMAC
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9NUV7,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
XWYMWLGPGRAJLM-GPJHCHHRSA-N,P98170,Q9NR28,1,XIAP_SMAC
ITRAVPDTLUMIPL-UHFFFAOYSA-N,A6NMY6,Q6FGE5,1,Annexin A2_S100-A10
LSVSINNXAJHMRT-UHFFFAOYSA-N,P27540,Q99814,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
GEPLHYQNKBDVLN-UHFFFAOYSA-N,A4D2P2,A0A1B0GW57,1,RAC1_TIAM1
LBXJVISQYZQJLT-UHFFFAOYSA-N,A1A564,A0N7C6,1,BCoR_BCL6
DDPLPWIJXPSARG-UHFFFAOYSA-N,P27540,C9J9N2,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
PDICYFOXVGFINZ-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
BFVMTBOPAXURLB-UNOMPAQXSA-N,K7ESE0,Q16236,0,KEAP1_NRF2
DGYJHACBCFLLBR-VSOYFRJCSA-N,AF-Q9NVM2-F1-model_v4,P0DPK5,1,PB1-5_H3
RHJOYYPAYHHSMS-UHFFFAOYSA-N,O14980,Q9UBZ9,1,CRM1_Rev
RQYDCAXLKOYPFU-UHFFFAOYSA-N,B7Z752,H3BUB4,1,Importin subunit beta-1_Snurportin-1
VZPGINJWPPHRLS-UHFFFAOYSA-N,AF-Q00975-F1-model_v4,Q02410,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
YXZBNHDVRXRUBE-PKNBQFBNSA-N,B7Z752,H3BUB4,0,Importin subunit beta-1_Snurportin-1
QIISPJGUSYWAMD-UHFFFAOYSA-N,Q1JUQ5,Q1JUQ3,1,FKBP1A_FK506
MQGBOKFUDGFFAB-UHFFFAOYSA-N,M0QZD9,Q9NWY4,1,Bromodomain_Histone
AARUNXNNAZIAQK-UHFFFAOYSA-N,Q14901,Q8IYC6,1,MYC_MAX
UNIATRJVNFDJDH-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,P0DPK5,1,PB1-5_H3
LOGJQOUIVKBFGH-YBEGLDIGSA-N,P63096,B7Z8B8,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
JGDRFWBGECPKHM-JOCHJYFZSA-N,P20701,K7EKL8,1,LFA_ICAM
ZYGWHQCDHVLXGI-INIZCTEOSA-N,Q3B7K5,Q96LD9,1,BAZ2B_H4
DSHYKWSHOCCDGA-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
CXKWCBBOMKCUKX-UHFFFAOYSA-M,P37231,B4DYS9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
ALVVXSSFOOYRDP-UHFFFAOYSA-N,P62166,E9PI04,0,NCS-1_Ric8a
OFPXSFXSNFPTHF-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
YWSUTRFYAQHJFZ-UHFFFAOYSA-N,Q9HD36,Q07812,1,"BCL-like_BAX,BAK"
RIGAZQRUXGMFGY-UHFFFAOYSA-N,A8MYV6,Q09472,1,HIF-1a_p300
MVMOMSLTZMMLJR-FMIVXFBMSA-N,O00255,L0R899,0,MENIN_MLL
VOEWMJBBSFTVAD-UHFFFAOYSA-N,Q5T179,D6RAG5,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
SBNMXRKZAVLTHG-UHFFFAOYSA-N,M0QYW0,Q9H9B1,1,Bromodomain_Histone
CFTIEVZHOMMXRG-CMDGGOBGSA-N,O14980,Q9UBZ9,0,CRM1_Rev
BULPVMQBJAMSRN-MSOLQXFVSA-N,I6RYK4,A8MYV6,1,VHL_HIF1A
OTRLVHIQEWHJOK-UHFFFAOYSA-N,B3KUF4,A1ECB1,1,GATA4_NKX2-5
JIVANWVLNGMSOX-UHFFFAOYSA-N,B7Z752,H3BUB4,0,Importin subunit beta-1_Snurportin-1
MFZHXIHGHGFXNJ-WBVHZDCISA-N,G3V5T7,Q9UKX9,1,KRAS_SOS1
ZOROTGIUNHRAMJ-UHFFFAOYSA-N,Q5T179,Q13309,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
IGJJHNDTIIFWAL-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
XYJBPEOHRBYXJR-XMMPIXPASA-N,Q0GK43,A2N4P8,0,IL2_IL2R
IGJJHNDTIIFWAL-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
FFGIAMNWBZNVQQ-RWSKJCERSA-N,Q7Z5Y5,Q9Y6P1,1,MENIN_MLL
OETIEACSNLUWLZ-UHFFFAOYSA-N,Q14901,Q8IYC6,1,MYC_MAX
OHTDXSAFYXPXKY-UHFFFAOYSA-O,A4D2P1,C9JMB5,1,RAC1_TIAM1
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
OYGZXCQBAJLSEJ-UHFFFAOYSA-N,Q9BZU3,A0A7P0S4R7,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
BQFPVWUSCCHHBF-UHFFFAOYSA-N,B7Z5M1,O95149,0,Importin subunit beta-1_Snurportin-1
ZOROTGIUNHRAMJ-UHFFFAOYSA-N,Q5T179,D6RAG5,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
IOUZAKOZNDIRHM-IAGOWNOFSA-N,Q5SR36,B9TX56,1,ELF3_MED23
DBYOJRHWEJEBCL-CYBMUJFWSA-N,A0A804HJ06,Q9UKX9,1,HRAS_SOS1
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PMP0,1,NCS-1_Ric8a
BVPVUSPPHFLKMI-UHFFFAOYSA-N,A0A7I2V3S6,Q5W0X3,1,FKBP1A_FK506
OZGKVRXNNDLXIA-QZTJIDSGSA-N,F5GYA9,Q5NUL3,1,CD4_gp120
CERSGKCXWDUOHE-UHFFFAOYSA-N,Q92793,Q96LD9,1,CREBBP_H4
DYEFUKCXAQOFHX-UHFFFAOYSA-N,O60240,A0A0S2Z5D6,1,Perilipin-1_ABHD5
WXNRXUHWSQQHIN-XIDKLXSXSA-N,O43521,Q16611,0,"BCL-like_BAX,BAK"
YMDYQWDQLZFIQV-UHFFFAOYSA-N,B7Z5M1,H3BUB4,1,Importin subunit beta-1_Snurportin-1
ZDULWWLCYAFFSI-UHFFFAOYSA-N,B7Z752,H3BUB4,0,Importin subunit beta-1_Snurportin-1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,Q9Y6Q9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
JNBOAUIJLDEICX-DWJNXXKWSA-N,O60240,A0A0S2Z5D6,1,Perilipin-1_ABHD5
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KAY4,Q9UH51,1,PCSK9_LDLR
SECXISVLQFMRJM-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,Q16695,1,PB1-5_H3
IOUZAKOZNDIRHM-IAGOWNOFSA-N,Q5SR36,B9TX56,0,ELF3_MED23
BZXKWTWZOMZUEU-UHFFFAOYSA-N,Q6W2J9,A0N7C7,0,BCoR_BCL6
IOUZAKOZNDIRHM-IAGOWNOFSA-N,Q5SR36,Q9ULK4,0,ELF3_MED23
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,P15692,1,NRP_VEGF
CLYOOMMYYGDKEO-UHFFFAOYSA-N,A0N0P2,P10747,1,CD80_CD28
LPIAZFVJRVLOKG-UHFFFAOYSA-N,P43694,A1ECB6,1,GATA4_NKX2-5
UIPWTXSKFBTTJA-UHFFFAOYSA-N,E9PKS4,P52952,1,GATA4_NKX2-5
MRNGXYMKYHNMLV-PKTZIBPZSA-N,Q71V48,A2N4P8,1,IL2_IL2R
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KAY4,A0A0E3MS57,1,PCSK9_LDLR
ZAKUVRGODWTTTF-UHFFFAOYSA-N,E9PKS4,A0A0S2Z383,1,GATA4_NKX2-5
JNCJVBDKESBLNW-UHFFFAOYSA-N,Q53TG3,Q96LD9,1,BAZ2B_H4
FAOAJPWDHJORMB-UHFFFAOYSA-N,A4D2P2,C9JMB5,1,RAC1_TIAM1
YGDLGRHJAGOPII-UHFFFAOYSA-N,A0A2R8YCH5,P36402,1,Beta-catenin_TCF
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q6WZM0,1,NRP_VEGF
BULPVMQBJAMSRN-MSOLQXFVSA-N,Q9UMS7,Q16665,1,VHL_HIF1A
JVRFSWXFNVLIFF-UHFFFAOYSA-N,P78460,C9K0N6,1,HRAS_SOS1
DIFKWHRMEGFLSD-DBEUHZBBSA-N,P35222,P17544,1,Catenin beta-1_Transcription factor 7
MQCINXVRFIDBMO-UHFFFAOYSA-N,P61964,AF-A0A0S2Z448-F1-model_v4,0,WDR5_Mixed-lineage leukemia 1 (MLL1)
IOUZAKOZNDIRHM-IAGOWNOFSA-N,Q5SR36,B9TX60,0,ELF3_MED23
KBXOJEAZTMJGBZ-UHFFFAOYSA-N,I4AY87,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
UMPJRGAFFRSXRX-MHWRWJLKSA-N,P37231,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
WZMCNMSXIKEYTO-UHFFFAOYSA-N,P37231,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
NEJKFBOKJSVKCS-UHFFFAOYSA-N,B5A248,Q96LD9,1,CREBBP_H4
VLUCXJXOZXEFPA-IYBDPMFKSA-N,AF-R6XDM2-F1-model_v4,P04637,1,XDM2_P53
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KBG0,E1B4T0,1,PCSK9_LDLR
CROCEQMKCMIFJZ-CNGORYIKSA-N,Q6X907,P15692,1,Neuropilin-1_VEGF-A
NWNRPXAZPNUBGV-CNYBTUBUSA-N,Q9HD36,Q07812,1,"BCL-like_BAX,BAK"
VZQQBRATUAQGEU-UHFFFAOYSA-N,A8MYV6,Q09472,1,HIF-1a_p300
UMPJRGAFFRSXRX-MHWRWJLKSA-N,Q86YN6,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
HVADKVMBUUALGR-MLCQCVOFSA-N,B1AKU3,Q9NR28,1,XIAP_SMAC
JSYDXBRADWMZDW-UHFFFAOYSA-N,Q96GG9,M0QYI6,1,DCN1_UBE2M
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,Q9Y6Q9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
PGKUSHWBQJPFOP-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
ATRCUYKKJRLYQA-UHFFFAOYSA-N,E7EN32,Q9UPD0,0,MENIN_MLL
PKRSYEPBQPFNRB-UHFFFAOYSA-M,A0A2R8YCH5,H0YAR8,1,Beta-catenin_TCF
CIAKKMIXEZWILV-WHLIWEHUSA-N,P04637,I6SST9,1,P53_HDM2
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PMP0,1,NCS-1_Ric8a
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H8A6,P01374,1,TNFR1A_TNFB
KNJKLBLRJBJXFN-UHFFFAOYSA-N,B4DLY8,H7BZE5,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
VKJPFFFQPPUZMN-UHFFFAOYSA-N,Q0VDC5,Q5W0X3,1,FKBP1A_FK506
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
IPRPWUGLLBDILH-UHFFFAOYSA-N,Q9UL45,Q5EBM5,0,PA_PB1
YJBVQFKUOLBFAH-UHFFFAOYSA-N,G3V5T7,Q9UKX9,1,KRAS_SOS1
XTEMXQHRURBBSM-UHFFFAOYSA-N,E7EN32,Q9UPD0,0,MENIN_MLL
BAMXBFLPNULUET-UHFFFAOYSA-N,B3CJ63,Q8IYC6,1,MYC_MAX
WFRYZLFAFSGOJR-UHFFFAOYSA-N,AF-Q00975-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
YEOMQAMBEFCHPQ-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
ODAZBZGOTQMIEQ-FQEVSTJZSA-N,Q0VDC5,P62942,1,FKBP1A_FK506
BVWHOZYQECWMFG-UHFFFAOYSA-N,P55209,Q9UNS8,1,NRP_VEGF
HZSGAYAXILDRBE-UHFFFAOYSA-N,AF-A0A024R8I1-F1-model_v4,Q02410,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
DTDHAVMTRCRSNB-UHFFFAOYSA-N,A0A2R8Y750,B7WNT5,1,Beta-catenin_TCF
WVOMQRZSSYGPHD-UHFFFAOYSA-N,Q96GG9,M0QYI6,1,DCN1_UBE2M
YYVYAPXYZVYDHN-UHFFFAOYSA-N,P37231,C9JNV9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor corepressor 2
PDRFAPMZSRHWMA-UHFFFAOYSA-N,B5A248,Q96LD9,1,CREBBP_H4
SEONIINQKDOTIR-HXUWFJFHSA-N,A0A221ZRZ4,C9K0N6,1,KRAS_SOS1
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
SYQNUQSGEWNWKV-XUIVZRPNSA-N,U5P039,Q13951,0,Runt-related transcription factor 1_Core-binding factor subunit beta
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DL06,Q8N100,1,Catenin beta-1_Transcription factor 7
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q9UNS8,1,NRP_VEGF
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,P35916,1,FAK_VEGFR3
SOZJMQJCCKPSJW-UHFFFAOYSA-N,A0A2R8Y750,B7WNT5,1,Beta-catenin_TCF
QMETXUTZEYHEJB-UHFFFAOYSA-N,P27540,Q99814,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
BVWHOZYQECWMFG-UHFFFAOYSA-N,O14786,Q6WZM0,1,NRP_VEGF
KYLSQLDAQDRMOB-UHFFFAOYSA-N,A6NMY6,P60903,0,Annexin A2_S100-A10
MKXIWMVKCFSCIT-UHFFFAOYSA-N,P07355,Q6FGE5,1,Annexin A2_S100-A10
GXYLGIWDBRRLAE-MDDUGHTDSA-N,O14980,Q9UBZ9,0,CRM1_Rev
KZNDFBSEKCABGW-SFTDATJTSA-N,Q96GG9,A0A024R4T4,1,DCN1_UBE2M
SNMREYXKHOXAHO-AWEZNQCLSA-N,P98170,Q9NR28,1,XIAP_SMAC
IOUZAKOZNDIRHM-IAGOWNOFSA-N,Q5SR36,B9TX54,1,ELF3_MED23
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q9UNS8,1,NRP_VEGF
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,B5A928,1,FAK_VEGFR3
FSTYDISPXAAJMK-UHFFFAOYSA-N,AF-Q9NVM2-F1-model_v4,P0DPK5,1,PB1-5_H3
NFAMHWDGOWMRNE-UHFFFAOYSA-N,A0A087WZ58,P04637,1,MDM4_P53
FHZALEJIENDROK-UHFFFAOYSA-N,Q3B7K5,Q96LD9,1,BAZ2B_H4
CXKWCBBOMKCUKX-UHFFFAOYSA-M,P37231,B4DL21,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
OIFJZPPNSHCZDR-UHFFFAOYSA-O,O43521,Q16611,0,"BCL-like_BAX,BAK"
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PSI0,1,NCS-1_Ric8a
YTBMKTFORKIZLN-UHFFFAOYSA-N,A0A087WZ58,P04637,0,MDM4_P53
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q9UNS8,1,NRP_VEGF
NVRHWELRHNYZOU-UHFFFAOYSA-N,M4Q009,Q14397,1,Glucokinase_Glucokinase regulatory protein
FSXGYVHBBBJVIA-UHFFFAOYSA-N,Q6WZM0,P17948,1,VEGF_VEGFR
DDEBWWZIZBIPQB-UHFFFAOYSA-N,P07355,P60903,1,Annexin A2_S100-A10
JMCDUBQYQMSCGT-YLKIOQGFSA-N,Q9HD36,Q16611,0,"BCL-like_BAX,BAK"
SAVTWYBICKMDSC-MRVPVSSYSA-N,P15692,P17948,1,VEGF_VEGFR
JQWIUJNICDEZPA-UHFFFAOYSA-N,Q5T179,D6RAG5,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
JZZJIKPLQRKHRV-IRXDYDNUSA-N,P20701,K7EKL8,1,LFA_ICAM
ICXZXYUITXWHGD-UHFFFAOYSA-N,G3V4K2,Q9UKX9,1,KRAS_SOS1
ZAYJSFVXCOIZBP-UHFFFAOYSA-N,F5GYA9,Q5NUL3,1,CD4_gp120
BVWHOZYQECWMFG-UHFFFAOYSA-N,O14786,Q9UNS8,1,NRP_VEGF
NADUQCROZYTGPH-JYFOCSDGSA-N,A0A2U3TZT9,K7EIX1,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
PGKUSHWBQJPFOP-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DSW9,P36402,1,Catenin beta-1_Transcription factor 7
OVFGHVHGCRRVCI-UHFFFAOYSA-N,Q96GG9,M0QX69,1,DCN1_UBE2M
BBVKWFPUAZBKNG-SFTDATJTSA-N,A0A0U1RQC9,O15151,0,p53_MDMX
LKMDBZZKECUGOK-CMDGGOBGSA-N,O14980,Q9UBZ9,0,CRM1_Rev
LICJTIDRHJECTD-SFHVURJKSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,1,ZIPA_FTSZ
ZLKWLYKVKAVOMD-UHFFFAOYSA-N,O60885,Q9H9B1,1,Bromodomain_Histone
DAPHQHGCQZOEHD-UHFFFAOYSA-N,P04637,I6T4L2,0,P53_HDM2
OFPXSFXSNFPTHF-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
DRGCWMGLVXZPIZ-UHFFFAOYSA-N,AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
UZACLOFDRFURFZ-UHFFFAOYSA-N,M0R0H4,Q9H9B1,1,Bromodomain_Histone
QFWUINADTOYHEQ-UHFFFAOYSA-N,G3V5T7,C9K0N6,1,KRAS_SOS1
DLHWAOYAWWXEEW-UHFFFAOYSA-N,Q9UNS8,P17948,1,VEGF_VEGFR
CWFMJAJVCKLWBK-UHFFFAOYSA-N,A4D2P2,C9JMB5,0,RAC1_TIAM1
JJHHIJFTHRNPIK-UHFFFAOYSA-N,B7Z752,O95149,0,Importin subunit beta-1_Snurportin-1
IGJJHNDTIIFWAL-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
GDLBFKVLRPITMI-UHFFFAOYSA-N,U5P039,A0A494C0A9,0,Runt-related transcription factor 1_Core-binding factor subunit beta
HLIFAMDWHQBTKJ-UHFFFAOYSA-N,Q9UIF8,Q96LD9,1,BAZ2B_H4
GWUMOYRYGZWMSL-CABCVRRESA-N,F5H480,Q5NUL3,1,CD4_gp120
IOUZAKOZNDIRHM-IAGOWNOFSA-N,P78545,B9TX60,0,ELF3_MED23
JNCJVBDKESBLNW-UHFFFAOYSA-N,L8EAN3,Q96LD9,1,BAZ2B_H4
